,Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng,dist1,dist2,winner,significant
0,Cotton Bowl,1/1/1970,"Dallas, TX",21,17,Texas (1),Notre Dame (9),32.7766642,-96.7969879,30.2849185,-97.73405670000001,41.7055716,-86.2353388,180.35700640973803,846.1666112315376,closer,n/s
1,Orange Bowl,1/1/1970,"Miami, FL",10,3,Penn State (2),Missouri (6),25.7616798,-80.1917902,40.7982133,-77.85990840000001,38.94038079999999,-92.3277375,1044.919388581108,1150.247474647068,closer,n/s
2,Rose Bowl,1/1/1970,"Pasadena, CA",10,3,Southern California (5),Michigan (7),34.1477849,-118.1445155,34.0223519,-118.285117,42.2780436,-83.7382241,11.821981970975363,1939.6329524765874,closer,winner
3,Sugar Bowl,1/1/1970,"New Orleans, LA",27,22,Mississippi (13),Arkansas (3),29.95106579999999,-90.0715323,34.364732399999994,-89.538443,36.068689500000005,-94.1748471,305.7174175308302,484.11489514273,closer,n/s
4,Bluebonnet Bowl,12/31/1969,"Houston, TX",36,7,Houston (17),Auburn (12),29.7604267,-95.36980279999999,29.7199489,-95.3422334,32.593357399999995,-85.4951663,3.2433480977160176,616.3110214749906,closer,winner
5,Peach Bowl,12/30/1969,"Atlanta, GA",14,3,West Virginia (19),South Carolina,33.7489954,-84.3879824,39.648035899999996,-79.9697147,33.9937575,-81.0299186,474.86402744832185,193.78727149004396,further,n/s
6,Gator Bowl,12/27/1969,"Jacksonville, FL",14,13,Florida (15),Tennessee (11),30.3321838,-81.65565099999998,29.643632500000002,-82.3549302,35.9544013,-83.92945639999998,63.30420481893697,409.22490813100677,closer,winner
7,Tangerine Bowl,12/26/1969,"Orlando, FL",56,33,Toledo (20),Davidson,28.5383355,-81.3792365,41.6578804,-83.61423740000001,35.5008018,-80.8446725,913.1531962698857,480.7535577154072,further,n/s
8,Sun Bowl,12/20/1969,"El Paso, TX",45,6,Nebraska (14),Georgia,31.7618778,-106.48502169999999,40.8201966,-96.7004763,33.9480053,-83.37732209999999,828.5526811876034,1349.5752158035987,closer,n/s
9,Liberty Bowl,12/13/1969,"Memphis, TN",47,33,Colorado,Alabama,35.1495343,-90.0489801,40.00758099999999,-105.26594170000001,33.2140233,-87.5391418,898.4140372744719,196.1163219430883,further,n/s
10,Pasadena Bowl,12/6/1969,"Pasadena, CA",28,7,San Diego State,Boston University,34.1477849,-118.1445155,32.7739344,-117.07013490000001,42.3504997,-71.10539909999999,113.20819319144212,2586.170018580936,closer,n/s
11,Gator Bowl,1/2/1971,"Jacksonville, FL",35,28,Auburn (10),Mississippi,30.3321838,-81.65565099999998,32.593357399999995,-85.4951663,34.364732399999994,-89.538443,275.0676531004922,538.0669866839204,closer,n/s
12,Cotton Bowl,1/1/1971,"Dallas, TX",24,11,Notre Dame (6),Texas (1),32.7766642,-96.7969879,41.7055716,-86.2353388,30.2849185,-97.73405670000001,846.1666112315376,180.35700640973803,further,n/s
13,Orange Bowl,1/1/1971,"Miami, FL",17,12,Nebraska (3),Louisiana State (5),25.7616798,-80.1917902,40.8201966,-96.7004763,30.413257899999998,-91.1800023,1405.684202904404,743.0612743785828,further,n/s
14,Rose Bowl,1/1/1971,"Pasadena, CA",27,17,Stanford (12),Ohio State (2),34.1477849,-118.1445155,37.4274745,-122.169719,40.006836299999996,-83.03062220000001,319.7088717810801,1968.4634650575792,closer,n/s
15,Sugar Bowl,1/1/1971,"New Orleans, LA",34,13,Tennessee (4),Air Force (11),29.95106579999999,-90.0715323,35.9544013,-83.92945639999998,32.3771126,-86.3386457,546.0749273534768,277.1624680345677,further,n/s
16,Bluebonnet Bowl,12/31/1970,"Houston, TX",24,24,Oklahoma (20),Alabama,29.7604267,-95.36980279999999,35.205893599999996,-97.4457137,33.2140233,-87.5391418,394.30294797731483,519.737448719559,tie,n/s
17,Peach Bowl,12/30/1970,"Atlanta, GA",48,26,Arizona State (8),North Carolina,33.7489954,-84.3879824,32.2318851,-110.9501094,35.904912200000005,-79.04691340000001,1541.896664730327,337.95297051427025,further,n/s
18,Tangerine Bowl,12/28/1970,"Orlando, FL",40,12,Toledo (15),William & Mary,28.5383355,-81.3792365,41.6578804,-83.61423740000001,37.272698299999995,-76.71366189999998,913.1531962698857,659.9343905057851,further,n/s
