index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
0,Cotton Bowl,1/1/1970,"Dallas, TX",21,17,Texas (1),Notre Dame (9),1,1,1,1,1,1
1,Orange Bowl,1/1/1970,"Miami, FL",10,3,Penn State (2),Missouri (6),1,1,1,1,1,1
2,Rose Bowl,1/1/1970,"Pasadena, CA",10,3,Southern California (5),Michigan (7),1,1,1,1,1,1
3,Sugar Bowl,1/1/1970,"New Orleans, LA",27,22,Mississippi (13),Arkansas (3),1,1,1,1,1,1
4,Bluebonnet Bowl,12/31/1969,"Houston, TX",36,7,Houston (17),Auburn (12),1,1,1,1,1,1
5,Peach Bowl,12/30/1969,"Atlanta, GA",14,3,West Virginia (19),South Carolina,1,1,1,1,1,1
6,Gator Bowl,12/27/1969,"Jacksonville, FL",14,13,Florida (15),Tennessee (11),1,1,1,1,1,1
7,Tangerine Bowl,12/26/1969,"Orlando, FL",56,33,Toledo (20),Davidson,1,1,1,1,1,1
8,Sun Bowl,12/20/1969,"El Paso, TX",45,6,Nebraska (14),Georgia,1,1,1,1,1,1
9,Liberty Bowl,12/13/1969,"Memphis, TN",47,33,Colorado,Alabama,1,1,1,1,1,1
10,Pasadena Bowl,12/6/1969,"Pasadena, CA",28,7,San Diego State,Boston University,1,1,1,1,1,1
11,Gator Bowl,1/2/1971,"Jacksonville, FL",35,28,Auburn (10),Mississippi,1,1,1,1,1,1
12,Cotton Bowl,1/1/1971,"Dallas, TX",24,11,Notre Dame (6),Texas (1),1,1,1,1,1,1
13,Orange Bowl,1/1/1971,"Miami, FL",17,12,Nebraska (3),Louisiana State (5),1,1,1,1,1,1
14,Rose Bowl,1/1/1971,"Pasadena, CA",27,17,Stanford (12),Ohio State (2),1,1,1,1,1,1
15,Sugar Bowl,1/1/1971,"New Orleans, LA",34,13,Tennessee (4),Air Force (11),1,1,1,1,1,1
16,Bluebonnet Bowl,12/31/1970,"Houston, TX",24,24,Oklahoma (20),Alabama,1,1,1,1,1,1
17,Peach Bowl,12/30/1970,"Atlanta, GA",48,26,Arizona State (8),North Carolina,1,1,1,1,1,1
18,Tangerine Bowl,12/28/1970,"Orlando, FL",40,12,Toledo (15),William & Mary,1,1,1,1,1,1
19,Pasadena Bowl,12/19/1970,"Pasadena, CA",24,24,Louisville,Long Beach State,1,1,1,1,1,1
20,Sun Bowl,12/19/1970,"El Paso, TX",17,9,Georgia Tech (13),Texas Tech (19),1,1,1,1,1,1
21,Liberty Bowl,12/12/1970,"Memphis, TN",17,3,Tulane,Colorado,1,1,1,1,1,1
22,Cotton Bowl,1/1/1972,"Dallas, TX",30,6,Penn State (10),Texas (12),1,1,1,1,1,1
23,Orange Bowl,1/1/1972,"Miami, FL",38,6,Nebraska (1),Alabama (2),1,1,1,1,1,1
24,Rose Bowl,1/1/1972,"Pasadena, CA",13,12,Stanford (16),Michigan (4),1,1,1,1,1,1
25,Sugar Bowl,1/1/1972,"New Orleans, LA",40,22,Oklahoma (3),Auburn (5),1,1,1,1,1,1
26,Bluebonnet Bowl,12/31/1971,"Houston, TX",29,17,Colorado (7),Houston (15),1,1,1,1,1,1
27,Gator Bowl,12/31/1971,"Jacksonville, FL",7,3,Georgia (6),North Carolina,1,1,1,1,1,1
28,Peach Bowl,12/30/1971,"Atlanta, GA",41,18,Mississippi (17),Georgia Tech,1,1,1,1,1,1
