Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
0,Cotton Bowl,1/1/1970,"Dallas, TX",21,17,Texas (1),Notre Dame (9),32.7766642,-96.79698789999999,30.2849185,-97.7340567,41.7055716,-86.2353388
1,Orange Bowl,1/1/1970,"Miami, FL",10,3,Penn State (2),Missouri (6),25.7616798,-80.1917902,40.7982133,-77.8599084,38.9403808,-92.32773750000001
2,Rose Bowl,1/1/1970,"Pasadena, CA",10,3,Southern California (5),Michigan (7),34.1477849,-118.1445155,34.0223519,-118.285117,42.2780436,-83.7382241
3,Sugar Bowl,1/1/1970,"New Orleans, LA",27,22,Mississippi (13),Arkansas (3),29.95106579999999,-90.0715323,34.3647324,-89.538443,36.0686895,-94.1748471
4,Bluebonnet Bowl,12/31/1969,"Houston, TX",36,7,Houston (17),Auburn (12),29.7604267,-95.3698028,29.7199489,-95.3422334,32.5933574,-85.4951663
5,Peach Bowl,12/30/1969,"Atlanta, GA",14,3,West Virginia (19),South Carolina,33.7489954,-84.3879824,39.6480359,-79.9697147,33.9937575,-81.0299186
6,Gator Bowl,12/27/1969,"Jacksonville, FL",14,13,Florida (15),Tennessee (11),30.3321838,-81.65565099999999,29.6436325,-82.3549302,35.9544013,-83.92945639999999
7,Tangerine Bowl,12/26/1969,"Orlando, FL",56,33,Toledo (20),Davidson,28.5383355,-81.3792365,41.6578804,-83.6142374,35.5008018,-80.8446725
8,Sun Bowl,12/20/1969,"El Paso, TX",45,6,Nebraska (14),Georgia,31.7618778,-106.4850217,40.8201966,-96.70047629999999,33.9480053,-83.3773221
9,Liberty Bowl,12/13/1969,"Memphis, TN",47,33,Colorado,Alabama,35.1495343,-90.0489801,40.00758099999999,-105.2659417,33.2140233,-87.5391418
10,Pasadena Bowl,12/6/1969,"Pasadena, CA",28,7,San Diego State,Boston University,34.1477849,-118.1445155,32.7739344,-117.0701349,42.3504997,-71.1053991
11,Gator Bowl,1/2/1971,"Jacksonville, FL",35,28,Auburn (10),Mississippi,30.3321838,-81.65565099999999,32.5933574,-85.4951663,34.3647324,-89.538443
12,Cotton Bowl,1/1/1971,"Dallas, TX",24,11,Notre Dame (6),Texas (1),32.7766642,-96.79698789999999,41.7055716,-86.2353388,30.2849185,-97.7340567
13,Orange Bowl,1/1/1971,"Miami, FL",17,12,Nebraska (3),Louisiana State (5),25.7616798,-80.1917902,40.8201966,-96.70047629999999,30.4132579,-91.1800023
14,Rose Bowl,1/1/1971,"Pasadena, CA",27,17,Stanford (12),Ohio State (2),34.1477849,-118.1445155,37.4274745,-122.169719,40.0068363,-83.0306222
15,Sugar Bowl,1/1/1971,"New Orleans, LA",34,13,Tennessee (4),Air Force (11),29.95106579999999,-90.0715323,35.9544013,-83.92945639999999,32.3771126,-86.3386457
16,Bluebonnet Bowl,12/31/1970,"Houston, TX",24,24,Oklahoma (20),Alabama,29.7604267,-95.3698028,35.2058936,-97.4457137,33.2140233,-87.5391418
17,Peach Bowl,12/30/1970,"Atlanta, GA",48,26,Arizona State (8),North Carolina,33.7489954,-84.3879824,32.2318851,-110.9501094,35.9049122,-79.0469134
18,Tangerine Bowl,12/28/1970,"Orlando, FL",40,12,Toledo (15),William & Mary,28.5383355,-81.3792365,41.6578804,-83.6142374,37.2726983,-76.71366189999999
19,Pasadena Bowl,12/19/1970,"Pasadena, CA",24,24,Louisville,Long Beach State,34.1477849,-118.1445155,38.2122761,-85.75850229999999,33.7838235,-118.1140904
20,Sun Bowl,12/19/1970,"El Paso, TX",17,9,Georgia Tech (13),Texas Tech (19),31.7618778,-106.4850217,33.7756178,-84.39628499999999,33.5842591,-101.8782822
21,Liberty Bowl,12/12/1970,"Memphis, TN",17,3,Tulane,Colorado,35.1495343,-90.0489801,29.9407282,-90.12031669999999,40.00758099999999,-105.2659417
22,Cotton Bowl,1/1/1972,"Dallas, TX",30,6,Penn State (10),Texas (12),32.7766642,-96.79698789999999,40.7982133,-77.8599084,30.2849185,-97.7340567
23,Orange Bowl,1/1/1972,"Miami, FL",38,6,Nebraska (1),Alabama (2),25.7616798,-80.1917902,40.8201966,-96.70047629999999,33.2140233,-87.5391418
24,Rose Bowl,1/1/1972,"Pasadena, CA",13,12,Stanford (16),Michigan (4),34.1477849,-118.1445155,37.4274745,-122.169719,42.2780436,-83.7382241
25,Sugar Bowl,1/1/1972,"New Orleans, LA",40,22,Oklahoma (3),Auburn (5),29.95106579999999,-90.0715323,35.2058936,-97.4457137,32.5933574,-85.4951663
26,Bluebonnet Bowl,12/31/1971,"Houston, TX",29,17,Colorado (7),Houston (15),29.7604267,-95.3698028,40.00758099999999,-105.2659417,29.7199489,-95.3422334
27,Gator Bowl,12/31/1971,"Jacksonville, FL",7,3,Georgia (6),North Carolina,30.3321838,-81.65565099999999,33.9480053,-83.3773221,35.9049122,-79.0469134
28,Peach Bowl,12/30/1971,"Atlanta, GA",41,18,Mississippi (17),Georgia Tech,33.7489954,-84.3879824,34.3647324,-89.538443,33.7756178,-84.39628499999999
29,Tangerine Bowl,12/28/1971,"Orlando, FL",28,3,Toledo (14),Richmond,28.5383355,-81.3792365,41.6578804,-83.6142374,37.5746059,-77.5420768
30,Fiesta Bowl,12/27/1971,"Tempe, AZ",45,38,Arizona State (8),Florida State,33.4255104,-111.9400054,32.2318851,-110.9501094,30.43495,-84.284994
31,Liberty Bowl,12/20/1971,"Memphis, TN",14,13,Tennessee (9),Arkansas (18),35.1495343,-90.0489801,35.9544013,-83.92945639999999,36.0686895,-94.1748471
32,Pasadena Bowl,12/18/1971,"Pasadena, CA",28,9,Memphis,San Jose State,34.1477849,-118.1445155,35.1187498,-89.9374928,37.3351874,-121.8810715
33,Sun Bowl,12/18/1971,"El Paso, TX",33,15,Louisiana State (11),Iowa State,31.7618778,-106.4850217,30.4132579,-91.1800023,42.0266187,-93.6464654
34,Cotton Bowl,1/1/1973,"Dallas, TX",17,13,Texas (7),Alabama (4),32.7766642,-96.79698789999999,30.2849185,-97.7340567,33.2140233,-87.5391418
35,Orange Bowl,1/1/1973,"Miami, FL",40,6,Nebraska (9),Notre Dame (12),25.7616798,-80.1917902,40.8201966,-96.70047629999999,41.7055716,-86.2353388
36,Rose Bowl,1/1/1973,"Pasadena, CA",42,17,Southern California (1),Ohio State (3),34.1477849,-118.1445155,34.0223519,-118.285117,40.0068363,-83.0306222
37,Sugar Bowl,12/31/1972,"New Orleans, LA",14,0,Oklahoma (2),Penn State (5),29.95106579999999,-90.0715323,35.2058936,-97.4457137,40.7982133,-77.8599084
38,Bluebonnet Bowl,12/30/1972,"Houston, TX",24,17,Tennessee (11),Louisiana State (10),29.7604267,-95.3698028,35.9544013,-83.92945639999999,30.4132579,-91.1800023
39,Gator Bowl,12/30/1972,"Jacksonville, FL",24,3,Auburn (6),Colorado (13),30.3321838,-81.65565099999999,32.5933574,-85.4951663,40.00758099999999,-105.2659417
40,Sun Bowl,12/30/1972,"El Paso, TX",32,28,North Carolina (16),Texas Tech,31.7618778,-106.4850217,35.9049122,-79.0469134,33.5842591,-101.8782822
41,Peach Bowl,12/29/1972,"Atlanta, GA",49,13,North Carolina State,West Virginia (18),33.7489954,-84.3879824,35.7846633,-78.6820946,39.6480359,-79.9697147
42,Tangerine Bowl,12/29/1972,"Orlando, FL",21,18,Tampa,Kent State,28.5383355,-81.3792365,27.9468036,-82.4670028,41.1455594,-81.33928829999999
43,Fiesta Bowl,12/23/1972,"Tempe, AZ",49,35,Arizona State (15),Missouri,33.4255104,-111.9400054,32.2318851,-110.9501094,38.9403808,-92.32773750000001
44,Liberty Bowl,12/18/1972,"Memphis, TN",31,30,Georgia Tech,Iowa State,35.1495343,-90.0489801,33.7756178,-84.39628499999999,42.0266187,-93.6464654
45,Cotton Bowl,1/1/1974,"Dallas, TX",19,3,Nebraska (12),Texas (8),32.7766642,-96.79698789999999,40.8201966,-96.70047629999999,30.2849185,-97.7340567
46,Orange Bowl,1/1/1974,"Miami, FL",16,9,Penn State (6),Louisiana State (13),25.7616798,-80.1917902,40.7982133,-77.8599084,30.4132579,-91.1800023
47,Rose Bowl,1/1/1974,"Pasadena, CA",42,21,Ohio State (4),Southern California (7),34.1477849,-118.1445155,40.0068363,-83.0306222,34.0223519,-118.285117
48,Sugar Bowl,12/31/1973,"New Orleans, LA",24,23,Notre Dame (3),Alabama (1),29.95106579999999,-90.0715323,41.7055716,-86.2353388,33.2140233,-87.5391418
49,Bluebonnet Bowl,12/29/1973,"Houston, TX",47,7,Houston (14),Tulane (17),29.7604267,-95.3698028,29.7199489,-95.3422334,29.9407282,-90.12031669999999
